name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
\src\tests\junit\org\apache\tools\ant\taskdefs\DeltreeTest.java,1,1,1,1,3,0,3,0,1,4,44,8,16,7,4,20,0,11,7,4,0,0,0,0,1,1,1,0,1.25,4,4,4,4
\src\main\org\apache\tools\ant\taskdefs\TaskOutputStream.java,2,2,2,1,14,0,8,5,1,3,95,14,34,13,17,47,0,25,13,12,0,0,0,0,3,3,1,2,1.38,5,5,6,3
\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKOUT.java,1,1,1,1,12,0,4,7,1,10,165,17,52,17,25,96,0,40,17,23,0,0,0,0,2,2,1,1,1.85,11,11,11,10
\src\main\org\apache\tools\ant\taskdefs\ManifestClassPath.java,4,4,4,1,24,1,16,7,1,5,178,21,94,29,58,63,0,70,31,39,0,0,0,0,12,12,1,3,0.67,18,18,20,5
\src\main\org\apache\tools\ant\taskdefs\condition\HasMethod.java,2,2,2,2,12,0,8,3,1,11,190,17,111,33,60,62,0,80,35,45,0,0,0,0,7,7,7,3,0.56,26,26,27,23
\src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Handler.java,1,1,1,1,6,0,1,5,1,2,43,5,7,6,0,31,0,6,6,0,0,0,0,0,1,1,1,0,4.43,2,2,2,2
\src\main\org\apache\tools\ant\taskdefs\cvslib\CvsUser.java,1,1,1,1,10,0,4,5,1,5,93,15,29,13,10,49,0,20,12,8,0,0,0,0,3,3,1,1,1.69,7,7,7,5
\src\main\org\apache\tools\ant\taskdefs\ImportTask.java,2,2,3,2,18,1,12,5,1,11,283,28,157,59,90,98,0,103,53,50,0,0,0,0,8,8,4,2,0.62,27,27,35,17
\src\main\org\apache\tools\ant\types\selectors\AbstractSelectorContainer.java,2,2,2,1,9,0,5,4,1,30,355,38,170,50,80,147,0,117,49,68,0,0,0,0,5,5,3,3,0.86,47,47,47,32
\src\tests\junit\org\apache\tools\ant\util\facade\FacadeTaskHelperTest.java,1,1,1,1,11,1,9,0,1,3,63,10,33,8,23,20,0,29,8,21,0,0,0,0,1,1,1,0,0.61,3,3,3,3
\src\tests\junit\org\apache\tools\zip\ZipEncodingTest.java,2,2,2,1,20,3,16,0,1,5,147,27,94,22,71,26,0,38,20,18,0,0,0,0,3,3,1,2,0.28,8,8,8,5
\src\tests\junit\org\apache\tools\ant\taskdefs\optional\JavahTest.java,1,1,1,1,3,0,3,0,1,5,50,8,25,10,10,17,0,16,9,7,0,0,0,0,1,1,1,0,0.68,5,5,5,5
\src\main\org\apache\tools\ant\util\depend\AbstractAnalyzer.java,2,2,2,1,13,0,6,7,1,16,284,26,113,38,57,145,0,82,38,44,0,0,0,0,7,7,6,4,1.28,29,29,29,21
\src\main\org\apache\tools\ant\taskdefs\optional\unix\Chown.java,1,1,1,1,9,0,4,4,1,4,84,9,24,8,11,51,0,15,8,7,0,0,0,0,2,2,1,1,2.12,5,5,5,4
\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSGet.java,2,2,2,1,16,0,7,8,1,5,116,10,40,8,23,66,0,30,8,22,0,0,0,0,4,4,1,2,1.65,8,8,8,5
\src\main\org\apache\tools\ant\taskdefs\optional\extension\Compatibility.java,1,1,1,1,8,0,3,5,1,2,57,3,10,5,2,44,0,7,5,2,0,0,0,0,1,1,1,0,4.4,2,2,2,2
\src\main\org\apache\tools\ant\taskdefs\Touch.java,2,2,2,1,11,0,7,3,4,25,382,30,225,75,121,127,0,159,80,79,0,0,0,0,11,11,1,5,0.56,54,54,60,25
\src\main\org\apache\tools\tar\TarConstants.java,0,0,0,0,0,0,0,0,1,0,158,28,28,27,25,102,0,27,27,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0
\src\main\org\apache\tools\ant\taskdefs\condition\ParserSupports.java,2,2,3,1,12,0,8,3,1,7,151,12,83,34,44,56,0,59,29,30,0,0,0,0,5,5,1,1,0.67,16,16,18,7
\src\main\org\apache\tools\ant\taskdefs\rmic\WLRmic.java,2,2,2,1,15,0,9,5,1,5,136,13,66,26,42,57,0,44,24,20,0,0,0,0,6,6,1,2,0.86,11,11,11,5
\src\main\org\apache\tools\ant\taskdefs\HostInfo.java,4,4,4,1,18,0,14,3,1,9,247,34,161,48,100,52,0,114,46,68,0,0,0,0,7,7,1,3,0.32,32,32,34,9
\src\main\org\apache\tools\ant\taskdefs\optional\native2ascii\KaffeNative2Ascii.java,2,2,2,2,13,0,9,3,1,3,88,9,42,17,21,37,0,29,15,14,0,0,0,0,3,3,3,2,0.88,7,7,7,5
\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,1,1,1,1,7,0,5,1,1,26,281,51,157,65,81,73,0,104,57,47,0,0,0,0,2,2,1,1,0.46,27,27,27,26
\src\tests\junit\org\apache\tools\zip\UTF8ZipFilesTest.java,2,2,2,1,13,1,11,0,1,14,239,42,180,65,109,18,0,111,48,63,0,0,0,0,7,7,1,3,0.1,27,27,30,14
\src\tests\junit\org\apache\tools\ant\types\selectors\SizeSelectorTest.java,2,2,2,1,41,4,34,2,1,4,201,25,145,27,121,31,0,122,27,95,0,0,0,0,6,6,1,1,0.21,9,9,9,4
\src\main\org\apache\tools\ant\taskdefs\optional\junit\XMLResultAggregator.java,2,2,2,1,19,0,12,7,1,11,328,29,171,78,103,128,0,133,75,58,0,0,0,0,6,6,1,4,0.75,27,27,27,11
\src\main\org\apache\tools\ant\PathTokenizer.java,5,5,8,1,34,1,20,13,1,3,165,13,71,17,44,81,0,45,17,28,0,0,0,0,11,11,1,6,1.14,15,15,23,3
\src\main\org\apache\tools\ant\types\TimeComparison.java,2,2,2,1,10,0,4,5,1,7,122,15,43,20,20,64,0,31,19,12,0,0,0,0,4,4,3,1,1.49,11,11,11,9
\src\tests\junit\org\apache\tools\ant\LocationTest.java,1,1,1,1,5,0,5,0,2,7,77,11,49,20,27,17,0,35,20,15,0,0,0,0,1,1,1,0,0.35,7,7,7,7
\src\tests\junit\org\apache\tools\ant\types\FileSetTest.java,1,1,1,1,3,0,3,0,1,2,39,7,9,4,2,23,0,6,4,2,0,0,0,0,1,1,1,0,2.56,2,2,2,2
\src\main\org\apache\tools\ant\taskdefs\optional\junit\PlainJUnitResultFormatter.java,2,2,2,1,14,0,10,4,1,12,261,29,144,39,89,90,0,102,39,63,0,0,0,0,6,6,1,2,0.62,24,24,27,12
\src\main\org\apache\tools\ant\types\resources\Resources.java,2,2,2,1,7,0,5,1,5,26,273,23,180,53,87,70,0,129,59,70,0,0,0,0,5,5,4,3,0.39,48,48,51,31
\src\main\org\apache\tools\ant\types\resources\Archives.java,2,2,2,1,13,0,9,4,1,10,192,14,112,35,59,67,0,83,36,47,0,0,0,0,3,3,1,1,0.6,23,23,24,10
\src\main\org\apache\tools\ant\taskdefs\optional\jsp\JspMangler.java,1,1,1,1,7,0,1,6,1,2,47,6,6,5,0,35,0,5,5,0,0,0,0,0,1,1,1,0,5.83,2,2,2,2
\src\main\org\apache\tools\zip\UnixStat.java,0,0,0,0,0,0,0,0,1,0,76,5,10,9,7,61,0,9,9,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0
\src\main\org\apache\tools\ant\taskdefs\optional\ccm\CCMCheck.java,2,2,2,1,12,1,6,4,1,11,207,38,93,35,50,76,0,74,37,37,0,0,0,0,7,7,1,2,0.82,21,21,25,11
\src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Integrate.java,1,1,2,1,9,0,4,5,1,25,318,26,129,41,64,163,0,91,41,50,0,0,0,0,13,13,1,1,1.26,37,37,42,25
